gene_id	transcript_id	L01_fpkm	L02_fpkm	L03_fpkm	L04_fpkm	L05_fpkm	L06_fpkm	L07_fpkm	L08_fpkm	L09_fpkm
XLOC_018433	TCONS_00056393	2.882703	3.012673	3.415606	3.151812	3.936236	3.120115	3.106918	2.395934	2.063373
XLOC_018434	TCONS_00056395	1.783348	1.468373	1.129199	1.591575	1.575272	1.46357	1.381863	1.473768	2.171593
XLOC_018434	TCONS_00056396	4.29354	2.098217	2.023212	1.682865	2.024927	1.867229	3.790493	3.550682	0.700716
XLOC_018434	TCONS_00056397	4.611861	4.652498	4.60111	4.814726	4.305185	4.251691	4.422685	4.85856	0.336921
XLOC_018442	TCONS_00056403	1.738207	1.776277	1.263725	1.139716	0.982663	1.481356	0.843335	1.209263	1.230424
XLOC_018446	TCONS_00056407	12.651965	13.110719	13.68418	13.27802	12.808594	13.007276	16.184782	15.686235	15.293086
XLOC_018447	TCONS_00056408	18.206287	19.617188	21.548058	29.230885	27.449284	30.667599	8.97395	11.082292	12.045253
XLOC_018455	TCONS_00056416	120.20919	90.874229	96.902214	74.738319	69.855881	42.482132	174.988022	152.314835	168.725693
XLOC_018455	TCONS_00056417	132.74736	151.766434	136.371017	96.188316	104.084435	112.259346	238.125656	244.626495	225.582733
XLOC_018456	TCONS_00056420	0.311968	2.170501	3.070013	0.629022	1.366188	0.289626	2.116412	0.36213	0.642682
XLOC_018458	TCONS_00056421	34.226009	35.55373	33.156086	30.515902	34.428749	32.149837	45.409603	45.40839	43.760269
XLOC_018461	TCONS_00056423	2.850877	2.442362	3.103418	3.454025	3.468722	2.886154	2.411671	3.035511	2.407323
XLOC_018462	TCONS_00056424	58.765427	63.157036	65.332771	49.948967	55.661316	62.210102	82.405769	80.191071	85.508308
XLOC_018463	TCONS_00056425	16.175289	11.735301	13.920357	13.541605	14.858891	15.08767	12.804209	16.722803	14.664267
XLOC_018463	TCONS_00056429	1.109975	0.363757	1.877332	1.082549	1.287688	0.518795	1.189302	0.952241	0.98936
XLOC_018464	TCONS_00056432	4.439757	3.702117	2.557729	3.373004	4.907102	3.829994	3.496227	4.036024	2.72172
XLOC_018466	TCONS_00056434	1.513179	1.795627	1.698026	2.54558	3.04534	2.512677	0.552422	0.584797	0.386706
XLOC_018468	TCONS_00056436	1.945438	1.098307	0	3.643529	2.346818	0.907586	0.941017	4.076658	0
XLOC_018468	TCONS_00056437	1.307982	1.112145	0	5.083423	2.836664	0.420312	2.980724	2.259597	0
XLOC_018470	TCONS_00056441	0.572597	3.897492	2.817861	0.583348	0.569634	3.044595	0.618969	0.672555	0.442342
XLOC_018472	TCONS_00056445	1.239438	1.19734	1.480951	1.321291	1.206744	1.539289	0.86064	0.959743	0.703723
XLOC_018474	TCONS_00056447	0.498629	2.910147	0.423229	2.835563	0.208688	3.275233	0.099621	0.102628	3.404704
XLOC_018477	TCONS_00056448	0.859244	0.869348	0.728231	0.947472	0.587806	0.563686	1.309682	2.09307	1.137739
XLOC_018478	TCONS_00056449	1.494797	1.878449	2.067999	0.114378	0.510056	0.916095	0.598609	2.69666	0.543173
XLOC_018482	TCONS_00056451	5.367306	4.786156	4.278534	5.765078	4.797409	4.785269	4.933297	4.304197	5.743218
XLOC_018482	TCONS_00056452	1.451338	1.286169	1.47907	1.696246	1.543637	1.717538	1.326014	1.70379	1.501287
